soil_type,season,temperature,humidity,rainfall,crop
Alluvial,Monsoon,26.9,79,15.6,Rice
Alluvial,Monsoon,27.6,80,16.4,Rice
Alluvial,Monsoon,28.3,81,17.2,Rice
Alluvial,Monsoon,29.0,82,18.0,Rice
Alluvial,Monsoon,29.7,83,18.8,Rice
Alluvial,Monsoon,30.4,84,19.6,Rice
Alluvial,Monsoon,31.1,85,20.4,Rice
Clay,Kharif,25.9,77,13.6,Rice
Clay,Kharif,26.6,78,14.4,Rice
Clay,Kharif,27.3,79,15.2,Rice
Clay,Kharif,28.0,80,16.0,Rice
Clay,Kharif,28.7,81,16.8,Rice
Clay,Kharif,29.4,82,17.6,Rice
Clay,Kharif,30.1,83,18.4,Rice
Red,Summer,29.9,53,2.5999999999999996,Millets
Red,Summer,30.6,54,3.4,Millets
Red,Summer,31.3,55,4.2,Millets
Red,Summer,32.0,56,5.0,Millets
Red,Summer,32.7,57,5.8,Millets
Red,Summer,33.4,58,6.6,Millets
Red,Summer,34.1,59,7.4,Millets
Sandy,Zaid,31.9,47,0.5999999999999996,Millets
Sandy,Zaid,32.6,48,1.4,Millets
Sandy,Zaid,33.3,49,2.2,Millets
Sandy,Zaid,34.0,50,3.0,Millets
Sandy,Zaid,34.7,51,3.8,Millets
Sandy,Zaid,35.4,52,4.6,Millets
Sandy,Zaid,36.1,53,5.4,Millets
Loamy,Kharif,27.9,62,6.6,Maize
Loamy,Kharif,28.6,63,7.4,Maize
Loamy,Kharif,29.3,64,8.2,Maize
Loamy,Kharif,30.0,65,9.0,Maize
Loamy,Kharif,30.7,66,9.8,Maize
Loamy,Kharif,31.4,67,10.6,Maize
Loamy,Kharif,32.1,68,11.4,Maize
Alluvial,Rabi,23.9,59,4.6,Maize
Alluvial,Rabi,24.6,60,5.4,Maize
Alluvial,Rabi,25.3,61,6.2,Maize
Alluvial,Rabi,26.0,62,7.0,Maize
Alluvial,Rabi,26.7,63,7.8,Maize
Alluvial,Rabi,27.4,64,8.6,Maize
Alluvial,Rabi,28.1,65,9.4,Maize
Clay,Winter,24.9,73,9.6,Sugarcane
Clay,Winter,25.6,74,10.4,Sugarcane
Clay,Winter,26.3,75,11.2,Sugarcane
Clay,Winter,27.0,76,12.0,Sugarcane
Clay,Winter,27.7,77,12.8,Sugarcane
Clay,Winter,28.4,78,13.6,Sugarcane
Clay,Winter,29.1,79,14.4,Sugarcane
Black,Summer,28.9,69,7.6,Sugarcane
Black,Summer,29.6,70,8.4,Sugarcane
Black,Summer,30.3,71,9.2,Sugarcane
Black,Summer,31.0,72,10.0,Sugarcane
Black,Summer,31.7,73,10.8,Sugarcane
Black,Summer,32.4,74,11.6,Sugarcane
Black,Summer,33.1,75,12.4,Sugarcane
Red,Rabi,24.9,55,3.5999999999999996,Groundnut
Red,Rabi,25.6,56,4.4,Groundnut
Red,Rabi,26.3,57,5.2,Groundnut
